game_id,season,week,season_type,start_date,home_team,away_team,home_points,away_points,neutral_site,conference_game,sample_weight,home_power_rating,away_power_rating,home_sp_rating,home_sp_offense,home_sp_defense,away_sp_rating,away_sp_offense,away_sp_defense,home_talent,away_talent,margin,total_points,home_win,vegas_spread,vegas_over_under,vegas_num_books
401426532,2022,1,regular,2022-08-27 16:00:00+00:00,Western Kentucky,Austin Peay,38,27,False,False,0.421875,0.0,0.0,1.7,31.3,30.1,,,,495.64,121.11,11,65,1,-32.5,72.0,1.0
401405059,2022,1,regular,2022-08-27 16:30:00+00:00,Northwestern,Nebraska,31,28,True,True,0.421875,0.0,0.0,-13.4,17.0,28.6,-1.2,25.5,25.6,653.48,752.12,3,59,1,12.5,52.0,1.0
401413256,2022,1,regular,2022-08-27 19:30:00+00:00,UNLV,Idaho State,52,21,False,False,0.421875,0.0,0.0,-11.9,20.8,34.1,,,,368.29,37.08,31,73,1,-22.5,51.0,1.0
401404146,2022,1,regular,2022-08-27 20:00:00+00:00,Utah State,UConn,31,20,False,False,0.421875,0.0,0.0,-13.3,25.4,38.5,-14.6,14.2,27.9,371.37,239.17,11,51,1,-24.0,59.5,1.0
401405058,2022,1,regular,2022-08-27 20:00:00+00:00,Illinois,Wyoming,38,6,False,False,0.421875,0.0,0.0,15.9,20.6,5.5,-10.8,14.9,26.2,631.46,292.03,32,44,1,-14.0,42.5,1.0
401411090,2022,1,regular,2022-08-27 21:00:00+00:00,Florida State,Duquesne,47,7,False,False,0.421875,0.0,0.0,13.2,34.8,20.4,,,,780.76,94.04,40,54,1,-42.0,57.0,1.0
401426530,2022,1,regular,2022-08-27 23:00:00+00:00,Florida Atlantic,Charlotte,43,13,False,True,0.421875,0.0,0.0,-7.1,24.4,30.4,-16.4,24.0,39.2,550.51,487.24,30,56,1,-7.0,60.0,1.0
401411091,2022,1,regular,2022-08-28 00:15:00+00:00,North Carolina,Florida A&M,56,24,False,False,0.421875,0.0,0.0,7.8,41.7,35.0,,,,812.94,223.82,32,80,1,-45.5,56.5,1.0
401426531,2022,1,regular,2022-08-28 01:00:00+00:00,UTEP,North Texas,13,31,False,True,0.421875,0.0,0.0,-10.7,20.8,32.7,-1.5,31.3,34.1,289.39,504.97,-18,44,0,1.5,52.5,1.0
401409235,2022,1,regular,2022-08-28 02:00:00+00:00,New Mexico State,Nevada,12,23,False,False,0.421875,0.0,0.0,-15.4,12.0,26.0,-22.4,15.9,37.8,189.37,416.44,-11,35,0,7.0,48.0,1.0
401403853,2022,1,regular,2022-08-28 02:30:00+00:00,Hawai'i,Vanderbilt,10,63,False,False,0.421875,0.0,0.0,-24.7,15.8,39.4,-4.7,29.9,33.4,419.54,629.76,-53,73,0,9.0,54.5,1.0
401416568,2022,1,regular,2022-09-01 22:00:00+00:00,Akron,Saint Francis,30,23,False,False,0.421875,0.0,0.0,-23.4,16.7,38.5,,,,456.15,16.89,7,53,1,,,
401415610,2022,1,regular,2022-09-01 23:00:00+00:00,UCF,South Carolina State,56,10,False,False,0.421875,0.0,0.0,10.3,31.1,20.3,,,,636.16,35.03,46,66,1,-43.5,58.0,1.0
401403864,2022,1,regular,2022-09-01 23:00:00+00:00,Tennessee,Ball State,59,10,False,False,0.421875,0.0,0.0,25.2,47.3,22.6,-14.9,16.0,30.1,764.8,345.29,49,69,1,-35.5,66.5,1.0
401426533,2022,1,regular,2022-09-01 23:00:00+00:00,Florida International,Bryant,38,37,False,False,0.421875,0.0,0.0,-25.5,18.4,42.3,,,,459.71,14.59,1,75,1,-10.5,58.5,1.0
401411092,2022,1,regular,2022-09-01 23:00:00+00:00,Pittsburgh,West Virginia,38,31,False,False,0.421875,0.0,0.0,8.6,32.8,24.7,2.4,36.3,34.5,654.56,662.57,7,69,1,-7.5,51.0,1.0
401416569,2022,1,regular,2022-09-01 23:00:00+00:00,Oklahoma State,Central Michigan,58,44,False,False,0.421875,0.0,0.0,11.3,37.6,27.9,-14.0,19.0,32.2,670.53,384.48,14,102,1,-20.5,58.0,1.0
401441990,2022,1,regular,2022-09-01 23:00:00+00:00,Toledo,Long Island University,37,0,False,False,0.421875,0.0,0.0,-3.7,25.7,27.9,,,,498.98,,37,37,1,-47.5,57.0,1.0
401411093,2022,1,regular,2022-09-01 23:30:00+00:00,Wake Forest,VMI,44,10,False,False,0.421875,0.0,0.0,8.2,43.3,35.2,,,,575.42,,34,54,1,-33.5,66.5,1.0
401426534,2022,1,regular,2022-09-02 00:00:00+00:00,UAB,Alabama A&M,59,0,False,False,0.421875,0.0,0.0,-0.5,25.7,25.3,,,,443.8,293.63,59,59,1,-40.5,60.5,1.0
401405064,2022,1,regular,2022-09-02 00:00:00+00:00,Purdue,Penn State,31,35,False,True,0.421875,0.0,0.0,7.7,31.6,22.4,22.4,36.6,13.9,646.08,830.44,-4,66,0,3.5,53.5,1.0
401426537,2022,1,regular,2022-09-02 00:00:00+00:00,Missouri,Louisiana Tech,52,24,False,False,0.421875,0.0,0.0,8.1,26.0,18.3,-17.8,29.6,47.0,715.36,473.76,28,76,1,-20.5,62.5,1.0
401416592,2022,1,regular,2022-09-02 00:00:00+00:00,Northern Illinois,Eastern Illinois,34,27,False,False,0.421875,0.0,0.0,-18.8,25.3,43.1,,,,409.86,55.8,7,61,1,-35.0,55.5,1.0
401405060,2022,1,regular,2022-09-02 01:00:00+00:00,Minnesota,New Mexico State,38,0,False,False,0.421875,0.0,-105.0,16.0,23.5,8.6,-15.4,12.0,26.0,649.43,189.37,38,38,1,-36.0,52.5,1.0
401403965,2022,1,regular,2022-09-02 02:00:00+00:00,Arizona State,Northern Arizona,40,3,False,False,0.421875,0.0,0.0,-4.1,30.5,35.7,,,,670.18,47.14,37,43,1,-25.5,52.5,1.0
401415213,2022,1,regular,2022-09-02 02:30:00+00:00,San José State,Portland State,21,17,False,False,0.421875,0.0,0.0,-4.3,19.1,21.6,,,,417.95,110.5,4,38,1,-22.0,51.0,1.0
401413224,2022,1,regular,2022-09-02 02:30:00+00:00,Fresno State,Cal Poly,35,7,False,False,0.421875,0.0,0.0,3.3,27.1,24.4,,,,502.26,55.91,28,42,1,-42.5,63.0,1.0
401426535,2022,1,regular,2022-09-02 23:00:00+00:00,Charlotte,William & Mary,24,41,False,False,0.421875,-97.0,0.0,-16.4,24.0,39.2,,,,487.24,10.64,-17,65,0,-4.5,52.0,1.0
401416591,2022,1,regular,2022-09-02 23:00:00+00:00,Michigan State,Western Michigan,35,13,False,False,0.421875,0.0,0.0,1.2,31.9,29.7,-17.3,11.2,27.3,693.91,449.89,22,48,1,-21.5,54.5,1.0
401426330,2022,1,regular,2022-09-02 23:00:00+00:00,Old Dominion,Virginia Tech,20,17,False,False,0.421875,0.0,0.0,-13.0,16.9,29.3,-9.5,13.5,22.8,438.06,640.85,3,37,1,6.0,48.5,1.0
401416590,2022,1,regular,2022-09-02 23:00:00+00:00,Eastern Michigan,Eastern Kentucky,42,34,False,False,0.421875,0.0,0.0,-7.1,24.0,32.4,,,,404.1,224.82,8,76,1,-10.5,57.5,1.0
401411094,2022,1,regular,2022-09-02 23:30:00+00:00,Duke,Temple,30,0,False,False,0.421875,0.0,0.0,5.0,29.4,24.7,-12.9,16.3,28.6,603.98,505.48,30,30,1,-9.5,51.5,1.0
401405061,2022,1,regular,2022-09-03 00:00:00+00:00,Indiana,Illinois,23,20,False,True,0.421875,0.0,60.0,-7.1,29.9,36.6,15.9,20.6,5.5,680.74,631.46,3,43,1,-1.0,47.5,1.0
401404052,2022,1,regular,2022-09-03 00:00:00+00:00,Kansas,Tennessee Tech,56,10,False,False,0.421875,0.0,0.0,2.9,40.6,36.0,,,,574.29,43.6,46,66,1,-30.5,62.0,1.0
401403966,2022,1,regular,2022-09-03 02:00:00+00:00,Colorado,TCU,13,38,False,False,0.421875,0.0,0.0,-20.4,24.0,45.0,24.3,43.3,20.2,616.28,712.05,-25,51,0,13.5,59.5,1.0
401411096,2022,1,regular,2022-09-03 16:00:00+00:00,East Carolina,NC State,20,21,False,False,0.421875,0.0,0.0,1.1,31.5,28.7,6.8,20.4,15.3,494.82,686.19,-1,41,0,12.5,51.5,1.0
401415611,2022,1,regular,2022-09-03 16:00:00+00:00,Navy,Delaware,7,14,False,False,0.421875,0.0,0.0,-7.2,18.2,24.4,,,,0.0,39.14,-7,21,0,-13.0,48.5,1.0
401405067,2022,1,regular,2022-09-03 16:00:00+00:00,Michigan,Colorado State,51,7,False,False,0.421875,0.0,0.0,32.0,38.0,7.6,-22.2,7.8,29.0,847.24,431.38,44,58,1,-31.0,60.5,1.0
401403865,2022,1,regular,2022-09-03 16:00:00+00:00,Texas A&M,Sam Houston,31,0,False,False,0.421875,0.0,0.0,9.1,25.4,16.6,,,,947.3,200.06,31,31,1,-36.5,54.0,1.0
401405062,2022,1,regular,2022-09-03 16:00:00+00:00,Iowa,South Dakota State,7,3,False,False,0.421875,0.0,0.0,12.7,16.0,5.1,,,,681.98,5.97,4,10,1,-10.5,42.0,1.0
401404147,2022,1,regular,2022-09-03 16:00:00+00:00,UConn,Central Connecticut,28,3,False,False,0.421875,-97.0,0.0,-14.6,14.2,27.9,,,,239.17,11.33,25,31,1,-20.5,51.5,1.0
401411095,2022,1,regular,2022-09-03 16:00:00+00:00,App State,North Carolina,61,63,False,False,0.421875,0.0,60.0,1.7,32.9,29.8,7.8,41.7,35.0,456.66,812.94,-2,124,0,-3.0,56.5,1.0
401405066,2022,1,regular,2022-09-03 16:00:00+00:00,Maryland,Buffalo,31,10,False,False,0.421875,0.0,0.0,11.2,33.8,24.2,-9.2,25.0,35.0,680.22,370.96,21,41,1,-24.0,65.5,1.0
401405069,2022,1,regular,2022-09-03 16:00:00+00:00,Boston College,Rutgers,21,22,False,False,0.421875,0.0,0.0,-14.9,20.4,33.8,-9.1,16.4,25.2,664.63,631.47,-1,43,0,-9.0,47.5,1.0
401411100,2022,1,regular,2022-09-03 16:30:00+00:00,Virginia,Richmond,34,17,False,False,0.421875,0.0,0.0,-9.0,16.2,24.4,,,,625.94,55.5,17,51,1,-21.5,60.5,1.0
401415209,2022,1,regular,2022-09-03 17:00:00+00:00,Air Force,Northern Iowa,48,17,False,False,0.421875,0.0,0.0,3.9,16.3,12.3,,,,0.0,185.49,31,65,1,-14.5,46.5,1.0
401404057,2022,1,regular,2022-09-03 18:00:00+00:00,Iowa State,Southeast Missouri State,42,10,False,False,0.421875,0.0,0.0,5.3,17.7,10.6,,,,590.43,26.12,32,52,1,-33.5,54.5,1.0
401403971,2022,1,regular,2022-09-03 18:30:00+00:00,UCLA,Bowling Green,45,17,False,False,0.421875,0.0,0.0,15.0,45.7,30.1,-18.1,23.8,40.6,733.3,415.08,28,62,1,-24.0,56.5,1.0
401403858,2022,1,regular,2022-09-03 19:30:00+00:00,Georgia,Oregon,49,3,True,False,0.421875,0.0,0.0,35.3,37.2,3.7,18.9,44.9,26.5,989.76,877.93,46,52,1,-16.0,54.5,1.0
401403967,2022,1,regular,2022-09-03 19:30:00+00:00,San Diego State,Arizona,20,38,False,False,0.421875,0.0,0.0,-4.4,15.1,21.1,-3.2,37.6,41.1,372.29,652.06,-18,58,0,-6.5,46.5,1.0
401411097,2022,1,regular,2022-09-03 19:30:00+00:00,Miami,Bethune-Cookman,70,13,False,False,0.421875,0.0,0.0,-2.7,24.4,28.9,,,,854.72,205.68,57,83,1,-49.5,60.5,1.0
401415015,2022,1,regular,2022-09-03 19:30:00+00:00,Marshall,Norfolk State,55,3,False,False,0.421875,0.0,0.0,3.0,15.7,11.4,,,,455.3,61.79,52,58,1,-40.5,59.0,1.0
401415211,2022,1,regular,2022-09-03 19:30:00+00:00,Wyoming,Tulsa,40,37,False,False,0.421875,-19.0,0.0,-10.8,14.9,26.2,-6.1,32.7,38.5,292.03,485.87,3,77,1,6.5,46.0,1.0
401426541,2022,1,regular,2022-09-03 19:30:00+00:00,Oklahoma,UTEP,45,13,False,False,0.421875,0.0,-70.0,15.4,40.8,26.5,-10.7,20.8,32.7,870.34,289.39,32,58,1,-31.0,58.0,1.0
401426542,2022,1,regular,2022-09-03 19:30:00+00:00,UTSA,Houston,35,37,False,False,0.421875,0.0,0.0,7.2,39.3,32.6,4.5,42.5,37.7,515.76,629.12,-2,72,0,3.5,62.0,1.0
401403855,2022,1,regular,2022-09-03 19:30:00+00:00,Arkansas,Cincinnati,31,24,False,False,0.421875,0.0,0.0,12.0,38.3,26.3,13.1,27.6,16.1,741.06,650.89,7,55,1,-6.5,54.5,1.0
401405063,2022,1,regular,2022-09-03 19:30:00+00:00,Nebraska,North Dakota,38,17,False,False,0.421875,-75.0,0.0,-1.2,25.5,25.6,,,,752.12,,21,55,1,-28.5,62.5,1.0
401403860,2022,1,regular,2022-09-03 20:00:00+00:00,Ole Miss,Troy,28,10,False,False,0.421875,0.0,0.0,16.2,38.8,23.7,8.1,17.7,11.2,757.39,464.3,18,38,1,-21.5,57.0,1.0
401403968,2022,1,regular,2022-09-03 20:00:00+00:00,California,UC Davis,34,13,False,False,0.421875,0.0,0.0,-3.0,23.2,25.9,,,,653.31,103.7,21,47,1,-14.0,44.0,1.0
